 time            v(d_p)          v(d_n)          v(vos)          vod             v(x1.core_p)    v(x1.core_n)   
 5.47500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835047e-08  1.19999995e+00 
 5.52500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835042e-08  1.19999995e+00 
 5.57500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835123e-08  1.19999995e+00 
 5.62500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835219e-08  1.19999995e+00 
 5.67500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835092e-08  1.19999995e+00 
 5.72500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835122e-08  1.19999995e+00 
 5.77500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835070e-08  1.19999995e+00 
 5.82500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835052e-08  1.19999995e+00 
 5.87500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835152e-08  1.19999995e+00 
 5.92500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835148e-08  1.19999995e+00 
 5.97500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835071e-08  1.19999995e+00 
 6.02500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835119e-08  1.19999995e+00 
 6.07500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835068e-08  1.19999995e+00 
 6.12500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835119e-08  1.19999995e+00 
 6.17500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835138e-08  1.19999995e+00 
 6.22500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835073e-08  1.19999995e+00 
 6.27500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835052e-08  1.19999995e+00 
 6.32500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835159e-08  1.19999995e+00 
 6.37500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835154e-08  1.19999995e+00 
 6.42500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835149e-08  1.19999995e+00 
 6.47500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835148e-08  1.19999995e+00 
 6.52500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835144e-08  1.19999995e+00 
 6.57500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835075e-08  1.19999995e+00 
 6.62500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835054e-08  1.19999995e+00 
 6.67500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835083e-08  1.19999995e+00 
 6.72500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835025e-08  1.19999995e+00 
 6.77500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835044e-08  1.19999995e+00 
 6.82500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835199e-08  1.19999995e+00 
 6.87500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835165e-08  1.19999995e+00 
 6.92500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835148e-08  1.19999995e+00 
 6.97500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835081e-08  1.19999995e+00 
 7.02500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835129e-08  1.19999995e+00 
 7.07500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835078e-08  1.19999995e+00 
 7.12500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835061e-08  1.19999995e+00 
 7.17500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835052e-08  1.19999995e+00 
 7.22500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835122e-08  1.19999995e+00 
 7.27500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835075e-08  1.19999995e+00 
 7.32500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835056e-08  1.19999995e+00 
 7.37500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835200e-08  1.19999995e+00 
 7.42500000e-10  1.42082939e+00  1.06739154e+00  1.24411047e+00  3.53437857e-01  5.94835092e-08  1.19999995e+00 
