 time            v(d_p)          v(d_n)          v(x1.gclk_b)   
 4.13000000e-10  1.19999995e+00  1.19999996e+00 -5.68783934e-06 
 4.15000000e-10  1.19999995e+00  1.19999996e+00 -5.71037466e-06 
 4.17000000e-10  1.19999995e+00  1.19999996e+00 -5.68924665e-06 
 4.19000000e-10  1.19999995e+00  1.19999996e+00 -5.63312707e-06 
 4.21000000e-10  1.19999995e+00  1.19999996e+00 -5.54998442e-06 
 4.23000000e-10  1.19999995e+00  1.19999996e+00 -5.44701178e-06 
 4.25000000e-10  1.19999995e+00  1.19999996e+00 -5.33111756e-06 
 4.27000000e-10  1.19999995e+00  1.19999996e+00 -5.21046991e-06 
 4.29000000e-10  1.19999995e+00  1.19999995e+00 -5.09462306e-06 
 4.31000000e-10  1.19999995e+00  1.19999995e+00 -4.99463210e-06 
 4.33000000e-10  1.19999995e+00  1.19999995e+00 -4.92187676e-06 
 4.35000000e-10  1.19999995e+00  1.19999995e+00 -4.88749162e-06 
 4.37000000e-10  1.19999995e+00  1.19999995e+00 -4.90103524e-06 
 4.39000000e-10  1.19999995e+00  1.19999995e+00 -4.96970376e-06 
 4.41000000e-10  1.19999995e+00  1.19999995e+00 -5.09658492e-06 
 4.43000000e-10  1.19999995e+00  1.19999995e+00 -5.28187168e-06 
 4.45000000e-10  1.19999995e+00  1.19999995e+00 -5.53617004e-06 
 4.47000000e-10  1.19999995e+00  1.19999995e+00 -5.92052379e-06 
 4.49000000e-10  1.19999995e+00  1.19999995e+00 -6.58557538e-06 
 4.51000000e-10  1.19999995e+00  1.19999995e+00 -7.73460351e-06 
 4.53000000e-10  1.19999995e+00  1.19999994e+00 -9.50441126e-06 
 4.55000000e-10  1.19999995e+00  1.19999994e+00 -1.18814950e-05 
 4.57000000e-10  1.19999995e+00  1.19999994e+00 -1.47193513e-05 
 4.59000000e-10  1.19999995e+00  1.19999994e+00 -1.78036978e-05 
 4.61000000e-10  1.19999995e+00  1.19999994e+00 -2.08945632e-05 
 4.63000000e-10  1.19999995e+00  1.19999995e+00 -2.37253656e-05 
 4.65000000e-10  1.19999995e+00  1.19999995e+00 -2.59753151e-05 
 4.67000000e-10  1.19999995e+00  1.19999996e+00 -2.72460745e-05 
 4.69000000e-10  1.19999995e+00  1.19999998e+00 -2.70595212e-05 
 4.71000000e-10  1.19999995e+00  1.19999999e+00 -2.48706851e-05 
 4.73000000e-10  1.19999995e+00  1.20000001e+00 -2.00737653e-05 
 4.75000000e-10  1.19999995e+00  1.20000003e+00 -1.19887886e-05 
 4.77000000e-10  1.19999995e+00  1.20000005e+00  1.71236901e-07 
 4.79000000e-10  1.19999995e+00  1.20000007e+00  1.73429311e-05 
 4.81000000e-10  1.19999995e+00  1.20000010e+00  4.06571340e-05 
 4.83000000e-10  1.19999995e+00  1.20000014e+00  7.14778373e-05 
 4.85000000e-10  1.19999995e+00  1.20000017e+00  1.11432211e-04 
 4.87000000e-10  1.19999995e+00  1.20000022e+00  1.62427911e-04 
 4.89000000e-10  1.19999995e+00  1.20000027e+00  2.26657483e-04 
 4.91000000e-10  1.19999995e+00  1.20000033e+00  3.06319895e-04 
 4.93000000e-10  1.19999995e+00  1.20000039e+00  4.02170337e-04 
 4.95000000e-10  1.19999995e+00  1.20000041e+00  5.11539941e-04 
 4.97000000e-10  1.19999995e+00  1.20000038e+00  6.29404064e-04 
 4.98500000e-10  1.19999995e+00  1.20000032e+00  7.20496992e-04 
 5.00000000e-10  1.19999995e+00  1.20000024e+00  8.11852199e-04 
 5.00200000e-10  1.19999995e+00  1.20000023e+00  8.23893712e-04 
 5.00600000e-10  1.19999995e+00  1.20000021e+00  8.47902568e-04 
 5.01400000e-10  1.19999995e+00  1.20000016e+00  8.95624969e-04 
 5.03000000e-10  1.19999995e+00  1.20000005e+00  9.89333843e-04 
 5.05000000e-10  1.19999995e+00  1.19999992e+00  1.10122275e-03 
 5.07000000e-10  1.19999995e+00  1.19999979e+00  1.20410550e-03 
 5.09000000e-10  1.19999995e+00  1.19999964e+00  1.29149828e-03 
 5.11000000e-10  1.19999995e+00  1.19999943e+00  1.35136848e-03 
 5.13000000e-10  1.19999995e+00  1.19999913e+00  1.36715991e-03 
 5.15000000e-10  1.19999995e+00  1.19999874e+00  1.31852720e-03 
 5.17000000e-10  1.19999995e+00  1.19999824e+00  1.18279401e-03 
 5.19000000e-10  1.19999995e+00  1.19999767e+00  9.38873770e-04 
 5.21000000e-10  1.19999995e+00  1.19999709e+00  5.69939602e-04 
 5.23000000e-10  1.19999995e+00  1.19999655e+00  6.93309457e-05 
 5.25000000e-10  1.19999995e+00  1.19999626e+00 -5.40740548e-04 
 5.27000000e-10  1.19999996e+00  1.19999635e+00 -1.21833488e-03 
 5.28500000e-10  1.19999996e+00  1.19999667e+00 -1.74617249e-03 
 5.30000000e-10  1.19999996e+00  1.19999715e+00 -2.27075219e-03 
 5.30200000e-10  1.19999996e+00  1.19999723e+00 -2.33947310e-03 
