 time            v(d_p)          v(d_n)          v(x1.gclk_b)    v(mode)         v(en)          
 6.27500000e-10  5.94814722e-08  1.19999995e+00  1.77969667e-07  0.00000000e+00  0.00000000e+00 
 6.32500000e-10  5.94764707e-08  1.19999995e+00  4.76071873e-07  0.00000000e+00  0.00000000e+00 
 6.37500000e-10  5.94753572e-08  1.19999995e+00 -2.87161176e-07  0.00000000e+00  0.00000000e+00 
 6.42500000e-10  5.95023428e-08  1.19999995e+00  3.26844545e-07  0.00000000e+00  0.00000000e+00 
 6.47500000e-10  5.95031990e-08  1.19999995e+00  3.11079966e-06  0.00000000e+00  0.00000000e+00 
 6.52500000e-10  5.94574273e-08  1.19999995e+00  5.00579087e-06  0.00000000e+00  0.00000000e+00 
 6.57500000e-10  5.94592001e-08  1.19999995e+00  5.47810909e-06  0.00000000e+00  0.00000000e+00 
 6.62500000e-10  5.94880287e-08  1.19999995e+00  5.17500938e-06  0.00000000e+00  0.00000000e+00 
 6.67500000e-10  5.94913470e-08  1.19999995e+00  3.43779371e-06  0.00000000e+00  0.00000000e+00 
 6.72500000e-10  5.94907991e-08  1.19999995e+00  1.05227915e-07  0.00000000e+00  0.00000000e+00 
 6.77500000e-10  5.94995410e-08  1.19999995e+00 -3.79675209e-06  0.00000000e+00  0.00000000e+00 
 6.82500000e-10  5.95086602e-08  1.19999995e+00 -6.09985900e-06  0.00000000e+00  0.00000000e+00 
 6.87500000e-10  5.94948929e-08  1.19999995e+00 -5.83517324e-06  0.00000000e+00  0.00000000e+00 
 6.92500000e-10  5.94623654e-08  1.19999995e+00 -4.01073607e-06  0.00000000e+00  0.00000000e+00 
 6.97500000e-10  5.94487100e-08  1.19999995e+00 -1.83315182e-06  0.00000000e+00  0.00000000e+00 
 7.02500000e-10  5.94589396e-08  1.19999995e+00 -1.22746063e-07  0.00000000e+00  0.00000000e+00 
 7.07500000e-10  5.94784866e-08  1.19999995e+00  7.74095516e-07  0.00000000e+00  0.00000000e+00 
 7.12500000e-10  5.94972211e-08  1.19999995e+00  1.27858068e-06  0.00000000e+00  0.00000000e+00 
 7.17500000e-10  5.95025008e-08  1.19999995e+00  1.71270320e-06  0.00000000e+00  0.00000000e+00 
 7.22500000e-10  5.94896945e-08  1.19999995e+00  1.36984740e-06  0.00000000e+00  0.00000000e+00 
 7.27500000e-10  5.94831135e-08  1.19999995e+00 -7.48351401e-08  0.00000000e+00  0.00000000e+00 
 7.32500000e-10  5.94974089e-08  1.19999995e+00 -1.06253250e-06  0.00000000e+00  0.00000000e+00 
 7.37500000e-10  5.94992732e-08  1.19999995e+00 -4.99495774e-07  0.00000000e+00  0.00000000e+00 
 7.42500000e-10  5.94725218e-08  1.19999995e+00  4.36194521e-07  0.00000000e+00  0.00000000e+00 
 7.47500000e-10  5.94607092e-08  1.19999995e+00  8.68479795e-07  0.00000000e+00  0.00000000e+00 
 7.52500000e-10  5.94733878e-08  1.19999995e+00  8.41319162e-07  0.00000000e+00  0.00000000e+00 
 7.57500000e-10  5.94868664e-08  1.19999995e+00  6.35791693e-07  0.00000000e+00  0.00000000e+00 
 7.62500000e-10  5.94912045e-08  1.19999995e+00  4.22951167e-07  0.00000000e+00  0.00000000e+00 
 7.67500000e-10  5.94886868e-08  1.19999995e+00  2.70339830e-07  0.00000000e+00  0.00000000e+00 
 7.72500000e-10  5.94850526e-08  1.19999995e+00  1.76153380e-07  0.00000000e+00  0.00000000e+00 
 7.77500000e-10  5.94826060e-08  1.19999995e+00  1.29053470e-07  0.00000000e+00  0.00000000e+00 
 7.82500000e-10  5.94819804e-08  1.19999995e+00  1.06976364e-07  0.00000000e+00  0.00000000e+00 
 7.87500000e-10  5.94822125e-08  1.19999995e+00  1.01765866e-07  0.00000000e+00  0.00000000e+00 
 7.92500000e-10  5.94828821e-08  1.19999995e+00  1.01111794e-07  0.00000000e+00  0.00000000e+00 
 7.97500000e-10  5.94833482e-08  1.19999995e+00  1.04939049e-07  0.00000000e+00  0.00000000e+00 
 8.02500000e-10  5.94836956e-08  1.19999995e+00  1.07129999e-07  0.00000000e+00  0.00000000e+00 
 8.07500000e-10  5.94837628e-08  1.19999995e+00  1.10691640e-07  0.00000000e+00  0.00000000e+00 
 8.12500000e-10  5.94837906e-08  1.19999995e+00  1.11770921e-07  0.00000000e+00  0.00000000e+00 
 8.17500000e-10  5.94836904e-08  1.19999995e+00  1.13853062e-07  0.00000000e+00  0.00000000e+00 
 8.22500000e-10  5.94836500e-08  1.19999995e+00  1.13842920e-07  0.00000000e+00  0.00000000e+00 
 8.27500000e-10  5.94835668e-08  1.19999995e+00  1.14941600e-07  0.00000000e+00  0.00000000e+00 
 8.32500000e-10  5.94835501e-08  1.19999995e+00  1.14411942e-07  0.00000000e+00  0.00000000e+00 
 8.37500000e-10  5.94834935e-08  1.19999995e+00  1.15028254e-07  0.00000000e+00  0.00000000e+00 
 8.42500000e-10  5.94834997e-08  1.19999995e+00  1.14351847e-07  0.00000000e+00  0.00000000e+00 
 8.47500000e-10  5.94834773e-08  1.19999995e+00  1.14762360e-07  0.00000000e+00  0.00000000e+00 
 8.52500000e-10  5.94834977e-08  1.19999995e+00  1.14110691e-07  0.00000000e+00  0.00000000e+00 
 8.57500000e-10  5.94834826e-08  1.19999995e+00  1.14436603e-07  0.00000000e+00  0.00000000e+00 
 8.62500000e-10  5.94834979e-08  1.19999995e+00  1.13868302e-07  0.00000000e+00  0.00000000e+00 
 8.67500000e-10  5.94834888e-08  1.19999995e+00  1.14154214e-07  0.00000000e+00  0.00000000e+00 
 8.72500000e-10  5.94835095e-08  1.19999995e+00  1.13678050e-07  0.00000000e+00  0.00000000e+00 
 8.77500000e-10  5.94835024e-08  1.19999995e+00  1.13937193e-07  0.00000000e+00  0.00000000e+00 
 8.82500000e-10  5.94835145e-08  1.19999995e+00  1.13543834e-07  0.00000000e+00  0.00000000e+00 
 8.87500000e-10  5.94835067e-08  1.19999995e+00  1.13778908e-07  0.00000000e+00  0.00000000e+00 
 8.92500000e-10  5.94835167e-08  1.19999995e+00  1.13454663e-07  0.00000000e+00  0.00000000e+00 
 8.97500000e-10  5.94835094e-08  1.19999995e+00  1.13666056e-07  0.00000000e+00  0.00000000e+00 
 9.02500000e-10  5.94835142e-08  1.19999995e+00  1.13397824e-07  0.00000000e+00  0.00000000e+00 
 9.07500000e-10  5.94835092e-08  1.19999995e+00  1.13586147e-07  0.00000000e+00  0.00000000e+00 
 9.12500000e-10  5.94835148e-08  1.19999995e+00  1.13362732e-07  0.00000000e+00  0.00000000e+00 
 9.17500000e-10  5.94835081e-08  1.19999995e+00  1.13529464e-07  0.00000000e+00  0.00000000e+00 
 9.22500000e-10  5.94835101e-08  1.19999995e+00  1.13341806e-07  0.00000000e+00  0.00000000e+00 
