corner,vdd_v,temp_c,vctrl_v,up_a,down_a,both_a,mismatch_pct
sf,1.32,27,0.50,3.106285e-06,-2.43945e-06,6.667344e-07,24.0486
sf,1.32,27,0.60,3.092193e-06,-2.64853e-06,4.435759e-07,15.4567
sf,1.32,27,0.70,3.066451e-06,-2.82931e-06,2.370588e-07,8.0445
sf,1.32,27,0.80,3.033009e-06,-2.92552e-06,1.07413e-07,3.6079
sf,1.32,27,0.90,2.991954e-06,-2.95222e-06,3.966913e-08,1.3369
sf,1.32,125,0.50,3.353944e-06,-2.61227e-06,7.375878e-07,24.8625
sf,1.32,125,0.60,3.337701e-06,-2.81783e-06,5.161691e-07,16.8912
sf,1.32,125,0.70,3.314942e-06,-3.00322e-06,3.083846e-07,9.8675
sf,1.32,125,0.80,3.286909e-06,-3.13959e-06,1.443306e-07,4.5847
sf,1.32,125,0.90,3.252562e-06,-3.19422e-06,5.568025e-08,1.8100
ss,1.08,-40,0.50,2.177895e-06,-2.17651e-06,1.384107e-09,0.0636
ss,1.08,-40,0.60,2.171649e-06,-2.2104e-06,-3.87465e-08,1.7686
ss,1.08,-40,0.70,2.146763e-06,-2.22661e-06,-7.98437e-08,3.6515
ss,1.08,-40,0.80,2.098573e-06,-2.24148e-06,-1.42904e-07,6.5855
ss,1.08,-40,0.90,2.024752e-06,-2.25501e-06,-2.30258e-07,10.7603
ss,1.08,27,0.50,2.360563e-06,-2.31403e-06,4.653281e-08,1.9909
ss,1.08,27,0.60,2.351891e-06,-2.37646e-06,-2.45646e-08,1.0392
ss,1.08,27,0.70,2.326341e-06,-2.39762e-06,-7.12775e-08,3.0178
ss,1.08,27,0.80,2.284189e-06,-2.41568e-06,-1.31489e-07,5.5955
ss,1.08,27,0.90,2.217286e-06,-2.43197e-06,-2.14677e-07,9.2352
ss,1.08,125,0.50,2.656353e-06,-2.51399e-06,1.422957e-07,5.5069
ss,1.08,125,0.60,2.642533e-06,-2.63065e-06,1.185643e-08,0.4507
ss,1.08,125,0.70,2.616546e-06,-2.66857e-06,-5.19998e-08,1.9687
ss,1.08,125,0.80,2.577342e-06,-2.69181e-06,-1.14399e-07,4.3448
ss,1.08,125,0.90,2.503097e-06,-2.71201e-06,-2.08807e-07,8.0118
ss,1.20,-40,0.50,2.426498e-06,-2.24911e-06,1.773841e-07,7.5878
ss,1.20,-40,0.60,2.421567e-06,-2.40184e-06,1.972599e-08,0.8180
ss,1.20,-40,0.70,2.402789e-06,-2.43937e-06,-3.65826e-08,1.5109
ss,1.20,-40,0.80,2.36408e-06,-2.45546e-06,-9.13826e-08,3.7921
ss,1.20,-40,0.90,2.310117e-06,-2.47017e-06,-1.60051e-07,6.6964
ss,1.20,27,0.50,2.598217e-06,-2.36158e-06,2.366413e-07,9.5422
ss,1.20,27,0.60,2.591736e-06,-2.53455e-06,5.718582e-08,2.2311
ss,1.20,27,0.70,2.571559e-06,-2.60092e-06,-2.93643e-08,1.1353
ss,1.20,27,0.80,2.538012e-06,-2.62223e-06,-8.42136e-08,3.2641
ss,1.20,27,0.90,2.492224e-06,-2.64011e-06,-1.47878e-07,5.7629
ss,1.20,125,0.50,2.877925e-06,-2.53976e-06,3.380695e-07,12.4837
ss,1.20,125,0.60,2.86719e-06,-2.72633e-06,1.40805e-07,5.0365
ss,1.20,125,0.70,2.846104e-06,-2.84279e-06,3.310156e-09,0.1165
ss,1.20,125,0.80,2.816415e-06,-2.88171e-06,-6.52614e-08,2.2918
ss,1.20,125,0.90,2.775785e-06,-2.90478e-06,-1.28917e-07,4.5416
ss,1.32,-40,0.50,2.6665e-06,-2.26166e-06,4.048372e-07,16.4297
ss,1.32,-40,0.60,2.66233e-06,-2.46484e-06,1.97486e-07,7.7037
ss,1.32,-40,0.70,2.647809e-06,-2.6174e-06,3.040599e-08,1.1551
ss,1.32,-40,0.80,2.615046e-06,-2.65922e-06,-4.41687e-08,1.6751
ss,1.32,-40,0.90,2.570292e-06,-2.67518e-06,-1.04888e-07,3.9992
ss,1.32,27,0.50,2.826813e-06,-2.37141e-06,4.55401e-07,17.5215
ss,1.32,27,0.60,2.821705e-06,-2.57648e-06,2.452299e-07,9.0855
ss,1.32,27,0.70,2.805356e-06,-2.74534e-06,6.001821e-08,2.1625
ss,1.32,27,0.80,2.776791e-06,-2.81597e-06,-3.91832e-08,1.4011
