corner,vdd_v,temp_c,vctrl_v,vbp_v,freq_hz,current_a,power_w,energy_j,vmin_v,vmax_v
ss,1.08,125,0.6,0.415209,747367398,1.31451e-05,1.4196708e-05,1.89956212e-14,-0.00990753,1.09602
ss,1.08,125,0.65,0.357046,1.05604427e+09,1.9436e-05,2.099088e-05,1.9876894e-14,-0.0133429,1.10138
ss,1.08,125,0.7,0.301046,1.37234451e+09,2.5026e-05,2.702808e-05,1.96948213e-14,-0.0161904,1.1061
ss,1.08,125,0.75,0.249134,1.66242748e+09,3.02105e-05,3.262734e-05,1.96263238e-14,-0.018155,1.10892
ss,1.08,125,0.8,0.204501,1.90067094e+09,3.52914e-05,3.8114712e-05,2.00532934e-14,-0.0193341,1.10867
ss,1.08,125,0.85,0.169508,2.08198872e+09,4.06123e-05,4.3861284e-05,2.10670133e-14,-0.0199887,1.10431
ss,1.08,125,0.9,0.143554,2.21582096e+09,4.27766e-05,4.6198728e-05,2.08494859e-14,-0.0203505,1.09569
ss,1.08,125,0.95,0.124581,2.31502917e+09,4.49099e-05,4.8502692e-05,2.09512228e-14,-0.0205626,1.08384
ss,1.20,-40,0.35,9.84066e-01,FAIL,FAIL,FAIL,FAIL,4.43587e-04,4.98314e-04
ss,1.20,-40,0.4,9.81661e-01,FAIL,FAIL,FAIL,FAIL,4.03017e-04,6.56989e-04
ss,1.20,-40,0.45,9.28527e-01,FAIL,FAIL,FAIL,FAIL,4.11800e-05,2.86700e-04
ss,1.20,-40,0.5,6.83666e-01,FAIL,FAIL,FAIL,FAIL,-2.71409e-04,1.09376e-04
ss,1.20,-40,0.55,6.17718e-01,FAIL,FAIL,FAIL,FAIL,1.19669e+00,1.20008e+00
ss,1.20,-40,0.6,5.64089e-01,FAIL,FAIL,FAIL,FAIL,-6.06610e-03,1.21024e+00
ss,1.20,-40,0.65,0.508827,503261132,8.58526e-06,1.0302312e-05,2.0471106e-14,-0.0117531,1.21832
ss,1.20,-40,0.7,0.452496,872311101,1.62853e-05,1.954236e-05,2.24029707e-14,-0.0177607,1.22641
ss,1.20,-40,0.75,0.396343,1.30693328e+09,2.62106e-05,3.145272e-05,2.40660487e-14,-0.0231828,1.23371
ss,1.20,-40,0.8,0.341041,1.77169888e+09,3.59934e-05,4.319208e-05,2.43789057e-14,-0.0274535,1.23981
ss,1.20,-40,0.85,0.287775,2.22113633e+09,4.59624e-05,5.515488e-05,2.48318301e-14,-0.0303465,1.24382
ss,1.20,-40,0.9,0.238987,2.60987577e+09,5.52295e-05,6.62754e-05,2.53940823e-14,-0.0320475,1.24468
ss,1.20,-40,0.95,0.197579,2.91757841e+09,6.1923e-05,7.43076e-05,2.54689299e-14,-0.0329677,1.2414
ss,1.20,27,0.35,9.58242e-01,FAIL,FAIL,FAIL,FAIL,5.52797e-04,1.96061e-03
ss,1.20,27,0.4,8.79530e-01,FAIL,FAIL,FAIL,FAIL,3.92317e-05,5.65374e-04
ss,1.20,27,0.45,7.18356e-01,FAIL,FAIL,FAIL,FAIL,-2.08648e-04,4.50855e-01
ss,1.20,27,0.5,6.63054e-01,FAIL,FAIL,FAIL,FAIL,1.19728e+00,1.20000e+00
ss,1.20,27,0.55,6.07930e-01,FAIL,FAIL,FAIL,FAIL,-3.28424e-03,1.20614e+00
ss,1.20,27,0.6,0.550389,415308263,7.92443e-06,9.509316e-06,2.28970065e-14,-0.00676733,1.21166
ss,1.20,27,0.65,0.49146,742291305,1.42848e-05,1.714176e-05,2.30930362e-14,-0.0111286,1.21814
ss,1.20,27,0.7,0.43266,1.12508719e+09,2.08681e-05,2.504172e-05,2.22575816e-14,-0.0156626,1.22477
ss,1.20,27,0.75,0.375097,1.54152086e+09,2.96372e-05,3.556464e-05,2.30711376e-14,-0.0196748,1.23084
ss,1.20,27,0.8,0.319929,1.95545474e+09,3.97068e-05,4.764816e-05,2.43667925e-14,-0.0226866,1.23555
ss,1.20,27,0.85,0.268595,2.32704256e+09,4.84364e-05,5.812368e-05,2.4977489e-14,-0.0246275,1.23762
ss,1.20,27,0.9,0.223685,2.6315097e+09,5.51878e-05,6.622536e-05,2.51662991e-14,-0.0257388,1.23577
ss,1.20,27,0.95,0.18734,2.86598647e+09,6.09376e-05,7.312512e-05,2.55148169e-14,-0.0263913,1.2289
