time_ns,d_p,d_n,vos,vod,core_p,core_n
3.574999999999999845e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669529999999906e-08,1.199999950000000037e+00
3.624999999999999889e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669890000000021e-08,1.199999950000000037e+00
3.675000000000000488e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670730000000288e-08,1.199999950000000037e+00
3.724999999999999978e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948671139999999923e-08,1.199999950000000037e+00
3.775000000000000022e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670250000000135e-08,1.199999950000000037e+00
3.825000000000000067e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670669999999938e-08,1.199999950000000037e+00
3.875000000000000111e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669759999999814e-08,1.199999950000000037e+00
3.925000000000000155e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670520000000056e-08,1.199999950000000037e+00
3.975000000000000200e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670829999999989e-08,1.199999950000000037e+00
4.025000000000000244e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670149999999773e-08,1.199999950000000037e+00
4.074999999999999734e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669809999999995e-08,1.199999950000000037e+00
4.125000000000000333e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669759999999814e-08,1.199999950000000037e+00
4.174999999999999822e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670360000000005e-08,1.199999950000000037e+00
4.224999999999999867e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670669999999938e-08,1.199999950000000037e+00
4.275000000000000466e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670060000000240e-08,1.199999950000000037e+00
4.324999999999999956e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669820000000164e-08,1.199999950000000037e+00
4.375000000000000000e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669689999999957e-08,1.199999950000000037e+00
4.425000000000000044e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670330000000161e-08,1.199999950000000037e+00
4.475000000000000089e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670589999999913e-08,1.199999950000000037e+00
4.525000000000000133e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669900000000189e-08,1.199999950000000037e+00
4.575000000000000178e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670410000000186e-08,1.199999950000000037e+00
4.625000000000000222e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670640000000094e-08,1.199999950000000037e+00
4.674999999999999711e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669959999999877e-08,1.199999950000000037e+00
4.724999999999999756e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669729999999970e-08,1.199999950000000037e+00
4.774999999999999800e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669609999999931e-08,1.199999950000000037e+00
4.825000000000000400e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669510000000230e-08,1.199999950000000037e+00
4.875000000000000444e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948669790000000320e-08,1.199999950000000037e+00
4.924999999999999933e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670690000000276e-08,1.199999950000000037e+00
4.962500000000000244e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948670480000000043e-08,1.199999950000000037e+00
5.000000000000000000e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948671320000000311e-08,1.199999950000000037e+00
5.004999999999999449e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947095780000000007e-08,1.199999950000000037e+00
5.014999999999999458e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.946824169999999949e-08,1.199999950000000037e+00
5.034999999999999476e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.950201359999999676e-08,1.199999950000000037e+00
5.074999999999999512e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.950606030000000130e-08,1.199999950000000037e+00
5.125000000000000666e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947871139999999677e-08,1.199999950000000037e+00
5.175000000000000711e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947647250000000272e-08,1.199999950000000037e+00
5.224999999999999645e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948685779999999957e-08,1.199999950000000037e+00
5.262499999999999956e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949002090000000037e-08,1.199999950000000037e+00
5.300000000000000266e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948901059999999761e-08,1.199999950000000037e+00
5.304999999999999716e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.950269259999999814e-08,1.199999950000000037e+00
5.314999999999999725e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.950021580000000270e-08,1.199999950000000037e+00
5.334999999999999742e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947177639999999963e-08,1.199999950000000037e+00
5.374999999999999778e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947759509999999993e-08,1.199999950000000037e+00
5.425000000000000933e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949672570000000024e-08,1.199999950000000037e+00
5.474999999999999867e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949200249999999678e-08,1.199999950000000037e+00
5.524999999999999911e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948215410000000067e-08,1.199999950000000037e+00
5.574999999999999956e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948032629999999705e-08,1.199999950000000037e+00
5.625000000000000000e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948434659999999979e-08,1.199999950000000037e+00
5.675000000000000044e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948828130000000170e-08,1.199999950000000037e+00
5.725000000000000089e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948952899999999743e-08,1.199999950000000037e+00
5.775000000000000133e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948865899999999803e-08,1.199999950000000037e+00
5.825000000000000178e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948737299999999837e-08,1.199999950000000037e+00
5.875000000000000222e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948660699999999904e-08,1.199999950000000037e+00
5.924999999999999156e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948621150000000035e-08,1.199999950000000037e+00
5.974999999999999201e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948605989999999834e-08,1.199999950000000037e+00
6.025000000000000355e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948618279999999947e-08,1.199999950000000037e+00
6.075000000000000400e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948644900000000161e-08,1.199999950000000037e+00
6.125000000000000444e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948674020000000179e-08,1.199999950000000037e+00
6.174999999999999378e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948787889999999916e-08,1.199999950000000037e+00
6.224999999999999423e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948846629999999781e-08,1.199999950000000037e+00
6.274999999999999467e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948562389999999833e-08,1.199999950000000037e+00
6.325000000000000622e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948225049999999832e-08,1.199999950000000037e+00
6.375000000000000666e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948120769999999677e-08,1.199999950000000037e+00
6.424999999999999600e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949693300000000180e-08,1.199999950000000037e+00
6.474999999999999645e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949903560000000038e-08,1.199999950000000037e+00
6.524999999999999689e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947621340000000119e-08,1.199999950000000037e+00
6.574999999999999734e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947021789999999748e-08,1.199999950000000037e+00
6.625000000000000888e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.948340760000000155e-08,1.199999950000000037e+00
6.674999999999999822e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949041869999999814e-08,1.199999950000000037e+00
6.724999999999999867e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949270809999999671e-08,1.199999950000000037e+00
6.774999999999999911e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949865030000000163e-08,1.199999950000000037e+00
6.824999999999999956e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.950338040000000233e-08,1.199999950000000037e+00
6.875000000000000000e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949573850000000318e-08,1.199999950000000037e+00
6.925000000000000044e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947851889999999993e-08,1.199999950000000037e+00
6.975000000000000089e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.946592829999999989e-08,1.199999950000000037e+00
7.025000000000000133e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.946625490000000143e-08,1.199999950000000037e+00
7.075000000000000178e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.947729660000000238e-08,1.199999950000000037e+00
7.125000000000000222e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949219839999999801e-08,1.199999950000000037e+00
7.174999999999999156e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949856839999999703e-08,1.199999950000000037e+00
7.225000000000000311e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949492290000000127e-08,1.199999950000000037e+00
7.275000000000000355e-01,1.420829389999999970e+00,1.067391540000000028e+00,1.244110470000000079e+00,3.534378570000000219e-01,5.949047310000000225e-08,1.199999950000000037e+00
